person,occupation,race,sex,cover_age,cover_Blackgirl,cover_pose,cover_color,masthead_color,cover_headline,cover_headline2,Cover Story Page Start,wellknown_theme: Is the cover subject widely known at the time of the issue?,"freedomstruggle_theme: Is the fight for civil, human, or labor rights the center of the issue or organizing efforts appear through the headlines?","womensrights_theme: Is the cover a focus/emphasis on equal access and opportunity for children, women, or families?","education_youth_theme: Is the cover related to schooling, education, or youthhood?","statepower_theme: Is the state (government, surveillance, police, courts, law) a main subject or object of attention on this cover? Is the boogeyman of white supremacy explicit/implicit?","beautybodyimage_theme: Is the subject's pose, body image, and/or caption related to being ""pretty""? ",diaspora_poc_theme: Is the subject a non-black poc or connected to the African diaspora? ,erasure_theme,ordinaryexcellence_everyday_theme: Are they an everyday subject doing extra-ordinary and extraordinary things?,,has_wikipedia,has_nytimes,has_courtrecords,has_socialdescendants,in_archivegrid,in_repository,cover_number,year,issue_order,issue_number,link_issue,,,,,,,Notes,Misc
Margaret Buckner Young,"Educator, Writer ",African American ,Female,,1,HEAD,Yellow,Black,,,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,,,,,,Yes ,7.3,1964,7,"Vol. 25, No. 17",,,,,,,,,
Lula A. Farmer,Organizer ,White,Female,,0,HEAD,Yellow,Black,,,,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,No,Yes,,,Yes,,7.4,1964,7,"Vol. 25, No. 17",,,,,,,,,
Miyoko Hoshino,Singer,Japanese,Female,,0,HALF,Green ,White,"Hamp's Japanese Jazz Singer 
Miyoko Hoshino: Beautiful Japanese jazz singer was discovered by Hampton on Honolulu visit",Race Violence Breaks Out In Mississippi,,No,Yes,No,No,No,Yes,Yes,,No,,,,,,,,8,1964,8,"Vol. 25, No. 18",https://books.google.com/books?id=2sEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Lionel Hampton,Muscian,African American ,Male,,0,HEAD,Green ,White,,,,No,Yes,No,No,No,Yes,Yes,,No,,,,,,,,8,1964,8,"Vol. 25, No. 18",https://books.google.com/books?id=2sEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Jo (Josephine) Baker,Singer,African American ,Female,,1,HALF,Red,white,"Jo Baker Helps Civil Rights Groups 
Jo Baker: St. Louis-born star dazzles her audience with fabulous gowns and sensational show-stopping performance",Negro Councilman Serves Jail Term For Civil Rights,58-60,Yes,Yes,No,No,Yes ,Yes,No,Yes,No,,,,,,,,9,1964,9,"Vol. 25, No. 19",https://books.google.com/books?id=AsIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Ena Hartman ,Actress ,African American ,Female,,1,FULL,Blue,white,"Debut Of TV Actress
Ena Hartman & Lorne Greene: Negro beauty makes debut as actress on 'Bonanza"" with star on TV-western series",White Underground Movement In Mississippi,58-60,Yes,Yes,Yes,No,No,Yes,No,,Yes,,Yes,,,,,,10.1,1964,10,"Vol. 25, No. 20",https://books.google.com/books?id=_cEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Lorne Greene,Actor,White/Canadian,Male,,0,FULL,Blue,White,,White Underground Movement In Mississippi,,Yes,Yes,Yes,No,No,Yes,No,,Yes,,,,,,,,10.2,1964,10,"Vol. 25, No. 20",https://books.google.com/books?id=_cEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Wyatt T. Walker ,Pastor,African American ,Male,,0,HALF,Red,Red,Man Behind Martin Luther King Jr.,School Boycotts: Good Or Bad For Children? ,,Yes,Yes,No,Yes,No,No,No,,No,,,,,,,,11.1,1964,11,"Vol. 25, No. 21",https://books.google.com/books?id=68EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Martin Luther King Jr.,Pastor; Civil Rights Leader ,African American ,Male,,0,HALF,Red,Red,,,,Yes,Yes,No,Yes,No,No,No,,Yes,,,,,,,,11.2,1964,11,"Vol. 25, No. 21",,,,,,,,,
Dick Gregory ,Comedian,African American ,Male,,0,HALF,Orange,Orange,"Comedian Dick Gregory Tells Why He Won't Quit Civil Rights Fight 
Dick Gregory: After he learned that a youth, wearing shoes with holes in them, had walked picket line with him in freezing snow, Gregory vowed to stay in civil rights fight",Birmingham Today: Six Months After Church Bombings,,Yes,Yes,No,No,No,No,No,,Yes,,,,,,,,12,1964,12,"Vol. 25, No. 22",https://books.google.com/books?id=xcEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Cassius Clay ,Boxer; Activist,African American ,Male,,0,GROUP,White,Red,"Will Link With Malcolm X Hurt Cassius Clay's Boxing Career? 
Cassius Clay & Malcolm X: Boxing champ's ties with Malcolm X stirs as much controversy  as defeat of Liston",Alabama Negro Woman Campaigns For U.S. Congress,,Yes,No,Yes,No,No,No,No,,Yes,,,,,,,,13.1,1964,13,"Vol. 25, No. 23",https://books.google.com/books?id=DsIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Malcolm X,Revolutionary Organizer,African American ,Male,,0,GROUP,White,Red,,,,Yes,No,Yes,No,No,No,No,,Yes,,,,,,,,13.2,1964,13,"Vol. 25, No. 23",https://books.google.com/books?id=DsIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Velma Strode,Educator,African American ,Female,,1,GROUP,Blue,Black,Future For Jimmy: Nation's Capital's Most Unusual School Project ,New Role For Little Rock's Daisy Bates,46-51,No,Yes,Yes,Yes,,,No,Yes,Yes,,,Yes,Yes,,,Yes,14.1,1964,14,"Vol. 25, No. 24",https://books.google.com/books?id=CcIDAAAAMBAJ&lpg=PA1&pg=PA47#v=onepage&q=velma&f=false,,,,,,,,
Lonnie Johnson,Student,African American ,Male,,0,GROUP,Blue,Black,,,,No,No,Yes,Yes,No,No,No,,Yes,,,,,,,,14.2,1964,14,"Vol. 25, No. 24",https://books.google.com/books?id=CcIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Sidney Poitier ,Actor,African American ,Male,,0,GROUP,Red,White,"Sidney Poitier: America's Award-Winning Actor 
Sidney Poitier & Rosanna Schiaffino: Scene from newest film of actor depicts him with sultry beauty who is his harem favorite ",What's Behind Jacksonville's Race Violence? ,,Yes,Yes,No,No,No,No,No,,Yes,,,,,,,,15.1,1964,15,"Vol. 25, No. 26",https://books.google.com/books?id=WMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Rosanna Schiaffino,Actress ,Italian,Female,,0,GROUP,Red,White,,,,Yes,Yes,No,No,No,No,No,,No,,,,,,,,15.2,1964,15,"Vol. 25, No. 26",https://books.google.com/books?id=WMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Bob Hayes,Athlete,African American ,Male,,0,ACT ,Yellow,Black,"Cover is cut off
""w Hard Luck Handicaps World's Fastest Human"" 
""nter's record
dash is latest 
e voided by a 
nical mistake""",Chubby Checker's Mother Fights His Marriage To White Girl,,Yes,No,Yes,No,No,No,No,,No,,,,,,,,16,1964,16,"Vol. 26, No. 1",https://books.google.com/books?id=r8ADAAAAMBAJ&lpg=PA1&pg=PA58#v=onepage&q=hayes&f=true ,,,,,,,,
Mary Hamilton,Organizer ,African American ,Female,,1,HEAD,Red,White,"Call Me 'Miss'
Mary Hamilton: U.S. Supreme Court rules Negro has a right to be called 'Miss' in Alabama",White Minister Dies Fighting For School Integration,50-51,No,Yes,Yes,No,Yes,No,No,Yes,Yes,,,,Yes,,,,17,1964,17,"Vol. 26, No. 2",https://books.google.com/books?id=bcEDAAAAMBAJ&lpg=PA1&pg=PA50#v=onepage&q=hamilton&f=false,,,,,,,,
Rutledge Pearson,Educator; Organizer,African American ,Male,,0,SEAT,Green ,White,Former Baseball Star Leads Jacksonville Civil Rights Struggle ,Negro Woman Runs Against Dead White Congressman,,Yes ,Yes,Yes,No,Yes,No,No,,Yes,,,,,,,,18,1964,18,"Vol. 26, No. 3",https://books.google.com/books?id=aMEDAAAAMBAJ&lpg=PA1&pg=PA52#v=onepage&q=Pearson&f=false,,,,,,,,
Claudinette Fouchard,Model,Haitian ,Female,,1,HEAD,Red,White,"Postage Stamp Queens 
Claudinetter Fouchard: Haiti ordered regular and air-mail stamps to honor her and to advertise its sugar industry ",Why Ministers Aid Minn. Fight For Tavern License,20-21,Yes,Yes,No,No,No,No,Yes,,Yes,,,,,,,,19,1964,19,"Vol. 26, No. 4",https://books.google.com/books?id=ZMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Adam Clayton Powell ,Congressman; Pastor,African American ,Male,,0,ACT ,Blue,White,Powell's New Strategy In Rights Battle,The Methodist Church Fights For Equality ,,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,20,1964,20,"Vol. 26, No. 5",https://books.google.com/books?id=F8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Linda Brown Smith: Unnamed Students,Student,African American ,,,1,HEAD,Red,White,,What Happened To Negroes Who Won School Suit Ten Years Ago?,16-25,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,21.1,1964,21,"Vol. 26, No. 6",https://books.google.com/books?id=AMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Spottswood Bolling,Student,African American ,Male,,0,HEAD,Red,White,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,21.2,1964,21,"Vol. 26, No. 6",https://books.google.com/books?id=AMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Ethel Louise Belton Brown,Student,African American ,,,1,HEAD,Red,White,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,21.3,1964,21,"Vol. 26, No. 6",https://books.google.com/books?id=AMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Harry Briggs Jr ,Student,African American ,Male,,0,HEAD,Red,White,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,21.4,1964,21,"Vol. 26, No. 6",https://books.google.com/books?id=AMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Dorothy Davis,Student,African American ,,,1,HEAD,Red,White,,,,No,Yes,Yes,Yes,No,No,No,,Yes,,,,,,,,21.5,1964,21,"Vol. 26, No. 6",https://books.google.com/books?id=AMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Mimi Dillard,Actress,African American ,Female,29,1,HALF,Green ,White,"Movie's Mimi Moves Up
Mimi Dillard: Pretty starlet's role in 'The Strangler' is a boost to her career ",Truth About Harlem 'Blood Brothers' Gang,58-62,No,No,No,No,No,Yes,No,,Yes,,No,,,,,,22,1964,22,"Vol. 26, No. 7",https://books.google.com/books?id=FMEDAAAAMBAJ&printsec=frontcover&rview=1&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,,,,,,,
Ruby Phillips,Model,African American ,Female,,1,HALF,Red,White,"Debutsntes and Masters Bow Into Church Society 
Ruby Phillips: Pretty Church deb is freshman music student at Daniel Payne College","$200,000 Mystery Fire Destroys Negro Business In Alabama",40-42,No,No ,No,No,No,Yes,No,,Yes,,No,,,,,,23,1964,23,"Vol. 26, No. 8",https://books.google.com/books?id=DcEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Willie Mays ,Athlete,African American ,,,0,ACT,Green ,Black,Mays Is More Amazing In 13th Season,NAACP Lawyer Fights To Become Georgia Judge,,Yes,Yes,No,No,Yes,No,No,,No,,,,,,,,24,1964,24,"Vol. 26, No. 9",https://books.google.com/books?id=C8EDAAAAMBAJ&printsec=frontcover&rview=1&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,,,,,,,
Lael Calloway,Singer,African American ,Female,,1,HEAD,Red,Black,"Cab Calloway's Daughter Makes Debut
Lael Calloway: Pretty daughter of famous entertainer will make bow into New York society",Whites Raise Funds For 9 Children Of Mother Killed By Maryland Farmer ,40-41,Yes,Yes,No,No,Yes,Yes,No,,Yes,,,,,,,,25,1964,25,"Vol. 26, No. 10",https://books.google.com/books?id=B8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Carolyn Braddicks,Student,African American ,Female,,1,HALF,Blue,White,"Teen Volunteer Aid To Elderly Hospital Patients
Carolyn Braddicks: Pretty New Yorker gives services to elderly patients at Mt. Vernon Hospital",Should King Risk Death In Florida?,46-47,No,Yes,Yes,Yes,Yes,Yes,No,,Yes ,,,,,,,,26,1964,26,"Vol. 26, No. 11",https://books.google.com/books?id=dMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Lola Cox,Marine,African American ,Female,,1,HALF,Red,White,"Marine Corps Rodeo
Lola Cox: Cute Cleveland Marine reigns over three-day rodeo carnival",White Priest Ousted In Feud With Cardinal Over Race Issue,56-57,No,Yes,Yes,No,No,Yes,No,,Yes,,,,,,,,27,1964,27,"Vol. 26, No. 12",https://books.google.com/books?id=c8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Claudia Shropshire ,Lawyer,African American ,Female,,1,GROUP,Blue,White,Women Lawyers To Aid Mississippi 'Freedom Corps',White Medics Fight To Save Negro Siamese Twin In Miss.,16-17,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,No,,,Yes,,,28.1,1964,28,"Vol. 26, No. 13",https://books.google.com/books?id=bsEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Anna Diggs,Lawyer,African American ,Female,,1,GROUP,Blue,White,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,,,,,,28.2,1964,28,"Vol. 26, No. 13",https://books.google.com/books?id=bsEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Shari Sullivan,Student,African American ,Female,,1,HALF,Red,White,"Summer Jobs 
Shari Suillivan: Chicago honor student works for realty firm to earn money to use as a Drake U. freshman",Pearl River: Mississippi Deathbead For Freedom,26-27,No,Yes,Yes,Yes,No,No,No,,Yes,,,,,,,,29,1964,29,"Vol. 26, No. 14",https://books.google.com/books?id=YMEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Special Report: Mississippi,Organizer ,African American ,All,,0,NONE,Black,Red,"Exclusive: Shocking Pictures, Starting Stories, Brutal Expose",,,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,,,,,,,,30,1964,30,"Vol. 26, No. 16",https://books.google.com/books?id=W8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Terri Turner ,Actress,African American ,Female,,1,GROUP,Red,White,White Role For Negro Actress,What Goldwater's Nomination Means To U.S. Negroes,58-59,No,Yes,Yes,No,Yes,No,No,,No,,,,,,,,31.1,1964,31,"Vol. 26, No. 17",https://books.google.com/books?id=RcEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Joe Ford,Actor,White,Male,,0,GROUP,Red,White,,,,Yes,Yes,Yes,No,Yes,No,No,,No,,,,,,,,31.2,1964,31,"Vol. 26, No. 17",https://books.google.com/books?id=RcEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Maryella Washington ,Student,African American ,Female,,1,HEAD,Green ,Green,"Talented Louisiana Deb Queen
Maryella Washington. Baton Rouge beauty is Southern U lab school grad with many talents",How Harlem Can Stop Race Riots,40-41,No,Yes,Yes,Yes,Yes,Yes,No,,Yes ,,No,,,,,,32,1964,32,"Vol. 26, No. 18",https://books.google.com/books?id=vMEDAAAAMBAJ&lpg=PA1&pg=PA3#v=onepage&q&f=false,,,,,,,,
Dorothy Johnson,Model,African American ,Female,,1,HEAD,Red,White,"First Negro 'Miss Idaho' Beauty Queen
Dorothy Johnson: Pretty University of Idaho student represents state in annual Miss Universe pageant",Should Negroes use Extremism In Rights Fight?,60-61,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes ,,,,,Yes,,,33,1964,33,"Vol. 26, No. 19",https://books.google.com/books?id=O8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Julius T. Lee Jr ,Actor,African American ,Male,,0,GROUP,Yellow ,Black,Negro Plays Othello In Florida ,"Negro Vote Brings Freedom To 'Tent City,' Tenn.",,No,Yes,No,No,No,No,No,,No,,,,,,,,34.1,1964,34,"Vol. 26, No. 20",https://books.google.com/books?id=MsEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Susan Lee Kelley,Actor,White,Female,,0,GROUP,Yellow,Black,,,,No,Yes,No,No,No,No,No,No,No,,,,,,,,34.2,1964,34,"Vol. 26, No. 20",https://books.google.com/books?id=MsEDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Fannie Lou Hamer ,Organizer,African American ,Female,,1,GROUP,Red,Black,Mississippi Freedom Pary May Change Dixie Vote Pattern,What Poverty Bill Means To Negroes,6-9,Yes,Yes,No,No,Yes,No,No,,Yes,,,,,,,,35.1,1964,35,"Vol. 26, No. 21",https://books.google.com/books?id=H8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Ella Baker,Organizer,African American ,Female,,1,GROUP,Red,Black,,,,Yes,Yes,No,No,Yes,No,No,,Yes,,,,,,,,35.2,1964,35,"Vol. 26, No. 21",https://books.google.com/books?id=H8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Terri (Dorothy) Springer,Model,African American ,Female,,1,FULL,Red,Black,"New Fashion Fair Has Spanish Flair 
Terri Springer: Vivacious Cleveland model will travel the 12,000 miles with the Ebony Fashion Fair ",The Ten Negroes Closest To LBJ,44-45,No,Yes,No,No,Yes,Yes,Yes,,Yes,,,,,,,,36,1964,36,"Vol. 26, No. 22",https://books.google.com/books?id=G8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Hubert H. Humphrey ,Politician,White,Male,,0,HEAD,Red,Red,Democrats Choose Their Team,Free Fla Boy From Home 'Jail',,Yes,Yes,No,Yes,Yes,No,No,,No,,,,,,,,37.1,1964,37,"Vol. 26, No. 23",https://books.google.com/books?id=2sIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Lyndon B. Johnson,Politician,White,Male,,0,HEAD,Red,Red,,,,Yes,Yes,No,Yes,Yes,No,No,,No,,,,,,,,37.2,1964,37,"Vol. 26, No. 23",https://books.google.com/books?id=2sIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Yolande Toussiant ,Model,Haitian,Female,,1,FULL,Green ,White,"Preview of Fashion Fair Models
Yolande Toussant: Chic New Yorker is one of new faces to model in the 1954 Ebony Fashion Fair ",Teen-age Preacher Solves Fla. Town's Deliquency ,42-43,No,No,No,Yes,No,Yes,No,,Yes,,,,,,,,38,1964,38,"Vol. 26, No. 24",https://books.google.com/books?id=18IDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Diane White,Student,African American ,Female,,1,HALF,Red,White,Bright Future For Bright Students Diane White: Pretty St. Louis prep school student has a straight 'A' average and scholarship bids ,"Negro Judge Starts Job By Day, Jail By Night Project ",50-52,No,Yes,Yes,Yes,Yes,Yes,No,,Yes,,,,,,,,39,1964,39,"Vol. 26, No. 25",https://books.google.com/books?id=FMIDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Janet Winston,Model,African American ,Female,,1,HALF,Blue,Black,Highlights In Ebony Fashion Fair Janet Winston: Charming New Jersey model shows off new styles in showcase of fabulous fashions ,How Goldwater Turns GOP Into Lily-White Party ,43-44,No,Yes,No,No,Yes,Yes,No,,No,,,,,,,,40,1964,40,"Vol. 26, No. 26",https://books.google.com/books?id=x8EDAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Kathy Miller,Model,African American ,Female,,1,HALF,Red,White,"Cover is cut off 
(I think it says) Fashion Fair's Lady In Red
Kathy Miller: Attractive New York model wears exciting colors in the 1964 Ebony Fashion Fair ",How Miss. Church Burnings Backfire Against Racists ,42-43,No,Yes,No,No,No,Yes,No,,,,,,,,,,41,1964,41,"Vol. 27, No. 1",https://books.google.com/books?id=5MADAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Monique Cartright,Model,African American ,Female,,1,HALF,Green ,Black,"Fashions For The Jet Set 
Monique Cartright: Chicago beauty models fabulous creations of famous designers in Ebony Fashion Fair",Tale Of Two Cities: Report On Negroes In Phoenix And Austin,40-41,No,No,No,No,Yes,Yes,No,,,,,,,,,,42,1964,42,"Vol. 27, No. 2",https://books.google.com/books?id=48ADAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q=CARTRIGHT&f=false,,,,,,,,
Robert Kennedy ,Politician ,White,Male,,0,ACT,Red,White,"Robery Kennedy Battles For Negro Vote
The Kennedy touch is magic in Harlem",How Movie Stars Aid Fight For Fight Housing,,Yes,Yes,No,No,Yes,No,No,,No,,,,,,,,43,1964,43,"Vol. 27, No. 3",https://books.google.com/books?id=5sADAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Martin Luther King Jr,Pastor; Civil Rights Leader ,African American ,Male,,0,HEAD,Blue,White,"Inside Report: King's Nobel Peace Prize
Rev. M. L. King:
Crusade for love and peace leads to the world's most rewarding honor",,,Yes,Yes,No,No,Yes,No,No,,No,,,,,,,,44,1964,44,"Vol. 27, No. 4",https://books.google.com/books?id=3cADAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false ,,,,,,,,
Earlene Brown,Athlete,African American ,Female,,1,ACT,Red,Black,"How Negroes Helped U.S. In Tokyo Olympics 
Mrs. Earlene Brown",10 Big Cities That Hold Key To Election,52-56,No,Yes,No,No,Yes,Yes,Yes,,Yes,,,,,,,,45,1964,45,"Vol. 27, No. 5",https://books.google.com/books?id=08ADAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
Chubby ,Singer,African American ,Male,,0,GROUP,Green ,White,"A Visit With Chubby Checker And His Wife 
Chubby & Catherina",What's Ahead For Negroes In Next Four Years,,Yes,Yes,No,No,No,Yes,Yes,,No,,,,,,,,46.1,1964,46,"Vol. 27, No. 6",https://books.google.com/books?id=2sADAAAAMBAJ&lpg=PA1&pg=PA1#v=onepage&q&f=false,,,,,,,,
